Date,Open,High,Low,Close,Adj Close,Volume
2017-07-04,292.000000,292.000000,290.250000,290.250000,248.493439,150593
2017-07-05,292.500000,293.000000,290.250000,291.625000,249.670685,1169313
2017-07-06,292.500000,293.000000,290.250000,293.000000,250.847870,281515
2017-07-07,291.000000,293.500000,291.000000,292.000000,249.991730,506741
2017-07-10,291.000000,292.750000,289.000000,291.000000,249.135605,169402
2017-07-11,292.000000,292.000000,292.000000,292.000000,249.991730,152898
2017-07-12,294.500000,294.500000,292.000000,293.500000,251.275894,250194
2017-07-13,292.750000,295.500000,292.750000,294.500000,252.132095,314653
2017-07-14,294.750000,299.000000,294.500000,297.250000,254.486450,377541
2017-07-17,296.000000,299.000000,295.000000,298.750000,255.770645,151244
2017-07-18,299.000000,299.000000,296.529999,298.750000,255.770645,75549
2017-07-19,298.750000,300.000000,298.000000,299.250000,256.198761,224672
2017-07-20,300.000000,300.250000,299.000000,300.000000,256.840820,291687
2017-07-21,299.250000,301.750000,299.250000,300.750000,257.482941,107013
2017-07-24,302.000000,304.061005,300.000000,304.000000,260.265381,317207
2017-07-25,302.000000,305.000000,302.000000,305.000000,261.121490,424686
2017-07-26,305.000000,305.000000,302.750000,303.750000,260.051300,225510
2017-07-27,305.000000,305.500000,303.000000,303.500000,259.837219,181246
2017-07-28,303.500000,304.250000,302.000000,302.250000,258.767120,236569
2017-07-31,303.750000,304.250000,303.250000,303.250000,259.623199,335873
2017-08-01,302.500000,304.000000,301.500000,303.625000,259.944336,1025158
2017-08-02,304.000000,304.000000,302.000000,302.000000,258.553040,185692
2017-08-03,302.000000,304.750000,301.250000,302.000000,258.553040,258324
2017-08-04,302.000000,303.000000,302.000000,302.500000,258.981171,217902
2017-08-07,304.500000,304.500000,301.750000,302.250000,258.767120,119047
2017-08-08,302.000000,302.750000,300.750000,302.000000,258.553040,62169
2017-08-09,299.000000,300.570007,297.750000,298.250000,255.342575,363517
2017-08-10,298.000000,298.350006,295.515991,295.750000,253.202179,314609
2017-08-11,294.250000,297.440002,294.250000,294.250000,251.918045,257485
2017-08-14,297.750000,297.750000,290.208008,294.000000,251.704010,153225
2017-08-15,294.750000,296.750000,294.000000,294.500000,252.132095,166702
2017-08-16,295.250000,297.250000,294.500000,296.750000,254.058365,104755
2017-08-17,296.500000,299.000000,296.000000,299.000000,255.984680,66559
2017-08-18,298.000000,299.187988,297.750000,297.750000,254.914459,47699
2017-08-21,297.250000,299.638000,296.500000,297.000000,254.272400,143307
2017-08-22,296.250000,300.000000,296.250000,298.000000,255.128494,611461
2017-08-23,300.000000,300.000000,298.000000,299.250000,256.198761,186573
2017-08-24,297.000000,300.750000,296.500000,300.750000,261.680267,245805
2017-08-25,298.500000,301.250000,298.500000,301.000000,261.897797,88589
2017-08-29,299.000000,300.000000,298.833008,300.000000,261.027740,380594
2017-08-30,300.000000,303.250000,300.000000,302.500000,263.202972,576335
2017-08-31,302.500000,303.500000,301.779999,302.625000,263.311646,733412
2017-09-01,301.750000,303.000000,299.000000,299.750000,260.810242,819878
2017-09-04,301.250000,303.700012,299.750000,299.750000,260.810242,100389
2017-09-05,300.000000,302.750000,299.721008,300.250000,261.245270,68085
2017-09-06,299.750000,301.980011,299.750000,301.000000,261.897797,55076
2017-09-07,300.000000,301.750000,299.959991,300.500000,261.462738,82034
2017-09-08,300.500000,302.764008,299.750000,301.500000,262.332855,75183
2017-09-11,303.250000,303.250000,300.119995,301.000000,261.897797,88319
2017-09-12,299.750000,301.250000,298.000000,298.250000,259.505066,140947
2017-09-13,299.000000,300.000000,299.000000,299.000000,260.157623,61905
2017-09-14,299.000000,300.250000,296.855011,297.000000,258.417450,202187
2017-09-15,297.000000,299.500000,295.000000,295.000000,256.677246,863443
2017-09-18,296.500000,298.053009,295.500000,295.500000,257.112244,181387
2017-09-19,296.500000,297.850006,295.750000,296.375000,257.873657,106615
2017-09-20,295.500000,296.950012,295.250000,295.500000,257.112244,407737
2017-09-21,295.000000,297.000000,295.000000,296.000000,257.547333,92400
2017-09-22,295.750000,297.750000,295.750000,297.000000,258.417450,66113
2017-09-25,296.500000,300.960999,296.000000,296.250000,257.764862,182481
2017-09-26,298.000000,298.000000,295.500000,296.000000,257.547333,81706
2017-09-27,296.500000,297.250000,296.000000,296.625000,258.091156,74962
2017-09-28,296.000000,296.750000,294.500000,295.250000,256.894745,125702
2017-09-29,295.750000,296.750000,295.250000,296.750000,258.199921,360495
2017-10-02,296.500000,297.613007,295.000000,295.000000,256.677246,90277
2017-10-03,295.500000,297.000000,294.500000,295.250000,256.894745,169228
